Cp,MaxDepth,MinSplit,Acc,Sen,Spe,MCC,F1,AUC
0,4,7,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,8,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,9,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,10,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,11,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,12,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,13,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,14,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,15,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,16,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,17,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,18,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,19,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,20,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,21,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,22,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,23,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,24,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,25,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,26,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,27,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,28,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,29,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,30,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,31,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,4,32,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,1,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,5,2,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,5,3,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
